,name,track_uri,explicit,duration_ms,track_number,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,season,artists
49,Heavy Boobs,spotify:track:3m9PzsPoHZ4KVk5lyWNGc8,False,114535,22,28,0,1,4,0.251,0.707,0.68,0,0.154,-5.642,0.554,0.688,66.248,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
50,I Gave You A UTI,spotify:track:50hx9AZRATw7wBEKSogjkr,False,125281,23,31,9,1,4,0.253,0.825,0.837,0,0.0962,-3.865,0.22,0.652,109.972,Season 1,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana', 'Rachel Bloom']"
51,Angry Mad,spotify:track:1OpnT8gdqTdMTnUJv8kdMp,False,74670,24,22,4,0,4,0.00224,0.599,0.855,0.692,0.356,-7.494,0.0342,0.584,144.055,Season 1,"['Crazy Ex-Girlfriend Cast', 'Vincent Rodriquez III']"
52,Oh My God I Think I Like You,spotify:track:4EJUjxcU6NufnWb7hpHv0U,False,154341,25,36,2,1,4,0.442,0.923,0.632,0,0.0883,-6.408,0.0898,0.884,132.029,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Adam Schlesinger', 'Jack Dolgen']"
53,After Everything I've Done For You (That You Didn't Ask For),spotify:track:0xkXDJwX9fPT2T9KaIpfEl,False,163965,26,32,0,1,4,0.468,0.594,0.488,0,0.417,-5.997,0.114,0.559,96.464,Season 1,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin']"
54,One Indescribable Instant,spotify:track:27osGtmpYVARgV70qAIT9X,False,172564,27,27,0,1,4,0.735,0.463,0.481,0,0.087,-6.327,0.0274,0.161,97.024,Season 1,"['Crazy Ex-Girlfriend Cast', 'Lea Salonga']"
55,JAP Battle,spotify:track:7zwMHfU9KXNhnO6MjI3v5m,False,173120,28,14,1,1,4,0.0982,0.839,0.588,0,0.175,-10.389,0.355,0.916,96.383,Season 1,"['Crazy Ex-Girlfriend Cast', 'Zach Sherwin']"
56,I Could If I Wanted To,spotify:track:2LOws8Yjdie4A9OFLGynhX,False,127933,29,15,9,1,4,0.948,0.725,0.266,0,0.193,-9.732,0.345,0.466,85.856,Season 1,"['Crazy Ex-Girlfriend Cast', 'Jack Dolgen']"
57,Women Gotta Stick Together,spotify:track:6mfJHmf2SWLsbHtIMZjLoz,False,162466,30,12,2,1,4,0.715,0.748,0.239,0,0.082,-10.273,0.0441,0.498,132.942,Season 1,"['Crazy Ex-Girlfriend Cast', 'Adam Schlesinger']"
58,Group Hang,spotify:track:6QvjDDvSiVdHYtMvPVoDjc,False,84506,31,12,11,0,3,0.826,0.754,0.242,0,0.0627,-12.458,0.89,0.662,78.894,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
59,You Stupid Bitch,spotify:track:5Xs0qm99hYEtyWXJQ6XjSZ,False,29213,32,0,9,1,5,0.971,0.55,0.273,0.000116,0.259,-12.496,0.789,0.264,59.172,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
60,I'm Just a Girl in Love,spotify:track:2H05OUYDZ5HIX9tRU2Oyjw,False,30956,1,31,7,0,1,0.749,0.758,0.78,0,0.123,-4.336,0.0897,0.905,107.683,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
61,Love Kernels,spotify:track:34839ttYBgVuzxYGI77GV8,False,203511,2,32,5,1,4,0.627,0.727,0.545,0,0.219,-7.647,0.673,0.52,147.474,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
62,We Should Definitely Not Have Sex Right Now,spotify:track:14QJOmSy7eW3qKneeqiaQA,False,102610,3,28,10,0,4,0.32,0.631,0.54,4.34e-06,0.0839,-10.921,0.0979,0.971,187.946,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Vincent Rodriguez III']"
63,Maybe This Dream,spotify:track:2FgGRMi2OPbMDnLXuESGNG,False,165367,4,27,1,1,4,0.926,0.355,0.45,0,0.164,-7.906,0.0751,0.24,83.658,Season 2,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin']"
64,Greg’s Drinking Song,spotify:track:6mMQ79hWA0fvtgeiLwGEbM,False,143673,5,36,4,1,3,0.447,0.473,0.558,0,0.858,-5.184,0.089,0.94,201.446,Season 2,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']"
65,I Could If I Wanted To - Reprise,spotify:track:0fTkJGbY8WhX2MdexeFj9M,False,18826,6,0,2,1,4,0.429,0.635,0.64,0.201,0.364,-5.709,0.311,0,161.394,Season 2,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']"
66,Ping Pong Girl,spotify:track:6EdilHWmLSWB6fjY03QC9t,False,173441,7,29,9,1,4,0.0981,0.594,0.946,0,0.345,-4.46,0.154,0.563,159.979,Season 2,"['Crazy Ex-Girlfriend Cast', 'Vincent Rodriguez III']"
67,The Math of Love Triangles,spotify:track:2tAPfzirN9uohQCOkbrzXw,False,196313,8,34,0,1,4,0.58,0.478,0.519,0,0.567,-6.545,0.364,0.574,185.192,Season 2,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
68,It Was a Shit Show,spotify:track:2O18RcYKRbojD1xQ9JEXt2,False,201800,9,25,4,0,4,0.653,0.562,0.408,0.000917,0.233,-7.775,0.0352,0.191,85.253,Season 2,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']"
69,It Was a Shit Show,spotify:track:2duPpRs776rNtaUBYSe2C4,True,201800,10,38,4,0,4,0.651,0.382,0.402,0.000359,0.199,-7.813,0.0453,0.216,169.98,Season 2,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']"
70,We Tapped That Ass,spotify:track:3tSKs270xIcQD9wupJjIeT,False,155426,11,34,7,1,4,0.578,0.544,0.604,0,0.117,-4.052,0.315,0.769,181.405,Season 2,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana', 'Vincent Rodriguez III']"
