X1,name,track_uri,explicit,duration_ms,track_number,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,season,artists,song_name_lower
133,Meet Rebecca!,spotify:track:7g9OK2fhRdty8KGds07v0y,FALSE,36830,1,23,4,1,5,0.219,0.693,0.735,0,0.173,-3.457,0.0851,0.973,156.977,Season 4,['Crazy Ex-Girlfriend Cast'],meet rebecca
134,Time to Seize the Day,spotify:track:3ha6f1U2cknQ7fu18zOZJb,FALSE,107622,2,23,6,1,4,0.514,0.812,0.685,0,0.23,-4.691,0.137,0.893,142.066,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']",time to seize the day
135,The Cringe,spotify:track:7gtZopkm8VrqhuJifm5dE2,FALSE,155145,3,23,0,0,4,0.288,0.76,0.926,2.8e-6,0.32,-4.059,0.115,0.864,141.98,Season 4,"['Crazy Ex-Girlfriend Cast', 'Patton Oswalt']",the cringe
136,Don’t Be a Lawyer,spotify:track:58poMAVt9JrgWfAZYmyoDS,FALSE,155316,1,33,6,0,4,0.157,0.873,0.86,0,0.0261,-4.247,0.0514,0.957,100.012,Season 4,"['Crazy Ex-Girlfriend Cast', 'Burl Moseley']",dont be a lawyer
137,Our Twisted Fate,spotify:track:2iIzJE0Yr1LIw9Xj762bdV,FALSE,98865,2,22,2,0,4,0.663,0.634,0.503,0,0.309,-4.757,0.0293,0.402,97.02,Season 4,"['Crazy Ex-Girlfriend Cast', 'Adam Schlesinger']",our twisted fate
138,I Want to Be a Child Star,spotify:track:0Q8zBmjQr9n6Qy1QC5mYBs,FALSE,151648,1,31,4,1,4,0.167,0.693,0.851,0,0.116,-3.774,0.147,0.822,150.048,Season 4,"['Crazy Ex-Girlfriend Cast', 'Luca Padovan']",i want to be a child star
139,One Indescribable Instant - Reprise,spotify:track:6YaVJKrVkzzLbKMTHNYeYK,FALSE,77673,2,19,7,1,1,0.872,0.489,0.223,0,0.21,-6.831,0.0371,0.846,80.901,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Luca Padovan']",one indescribable instant  reprise
140,The Group Mind Has Decided You’re In Love,spotify:track:0dttbVoJRVJEq7VxEkV1e2,FALSE,222974,1,29,2,1,4,0.538,0.817,0.619,0,0.468,-4.852,0.159,0.885,131.96,Season 4,['Crazy Ex-Girlfriend Cast'],the group mind has decided youre in love
141,I’ve Always Never Believed In You,spotify:track:0Q9RhckMsULOpwSakaE14C,FALSE,208773,2,24,2,0,4,0.821,0.6,0.616,0,0.115,-4.9,0.127,0.341,77.692,Season 4,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin']",ive always never believed in you
142,Trapped in a Car with Someone You Don’t Want to Be Trapped in a Car With,spotify:track:3lWCyPG4lxC340PMH3TRVs,FALSE,198835,1,30,9,1,4,0.521,0.549,0.656,0,0.174,-2.596,0.0418,0.537,113.984,Season 4,['Crazy Ex-Girlfriend Cast'],trapped in a car with someone you dont want to be trapped in a car with
143,"Farewell, Fair Mustache",spotify:track:4NwwNNsoShfhAHNUFxwWcS,FALSE,61181,2,18,3,1,4,0.843,0.746,0.25,4.07e-4,0.281,-11.304,0.0753,0.745,75.308,Season 4,"['Crazy Ex-Girlfriend Cast', 'Pete Gardner']",farewell fair mustache
144,Forget It,spotify:track:6cHbzHnq3bcmIu6RPbcUlp,FALSE,112182,1,21,9,1,4,0.5,0.654,0.756,0,0.067,-4.939,0.233,0.378,109.756,Season 4,"['Crazy Ex-Girlfriend Cast', 'Tovah Feldshuh']",forget it
145,How to Clean Up,spotify:track:3hm7ToBMtZVTHQ1pHiIbCQ,FALSE,34703,2,20,9,0,4,0.184,0.672,0.757,0,0.166,-6.229,0.132,0.891,117.012,Season 4,"['Crazy Ex-Girlfriend Cast', 'Pete Gardner']",how to clean up
146,If You Ever Need a Favor in Fifty Years,spotify:track:48F9LgvH0CCJzteScIoiWU,FALSE,75122,3,18,7,1,4,0.923,0.619,0.542,0,0.691,-5.818,0.86,0.793,176.936,Season 4,"['Crazy Ex-Girlfriend Cast', 'Tovah Feldshuh', 'Elayne Boosler']",if you ever need a favor in fifty years
147,"Hello, Nice to Meet You",spotify:track:0YOJ5669JY4AZKH9pk25qm,TRUE,153098,1,33,2,1,4,0.261,0.918,0.569,0,0.0654,-6.521,0.0852,0.615,132.604,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Skylar Astin']",hello nice to meet you
148,What U Missed While U Were Popular,spotify:track:2NV1ZwaLudYeXqaleyB4j3,FALSE,138743,2,28,7,0,4,0.204,0.913,0.858,0,0.0635,-5.687,0.295,0.844,110.916,Season 4,"['Crazy Ex-Girlfriend Cast', 'Danny Jolles']",what u missed while u were popular
149,Sports Analogies,spotify:track:5sVBOd5KO3Bh8NRJWs0hyM,FALSE,142349,1,30,7,1,4,0.559,0.717,0.568,0,0.107,-5.266,0.0479,0.583,125.196,Season 4,"['Crazy Ex-Girlfriend Cast', 'Scott Michael Foster', 'Vincent Rodriguez III']",sports analogies
150,"Hello, Nice To Meet You - Reprise #1",spotify:track:7JfO9L05ed8sUzBV8k3jcu,FALSE,31585,2,22,2,1,3,0.974,0.599,0.325,0,0.0669,-8.447,0.054,0.579,165.893,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Skylar Astin']",hello nice to meet you  reprise 1
